[ToPy Problem Definition File v2007]
# TPD file generated by tpd-generator.py

PROB_NAME  : volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5
PROB_TYPE  : comp
VOL_FRAC   : 0.4
NUM_ITER   : 250
ETA        : 0.5
ELEM_K     : Q4
FILT_RAD   : 1.5
P_FAC      : 1.0

DOF_PN     : 2
NUM_ELEM_X : 60
NUM_ELEM_Y : 20
NUM_ELEM_Z : 0
FXTR_NODE_X: 1|21
FXTR_NODE_Y: 1281
LOAD_NODE_Y: 1
LOAD_VALU_Y: -1


TPD file name: volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.5
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
  47  | 1.921183e+02 | 0.400 | 5.6747e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  48  | 1.921182e+02 | 0.400 | 4.9804e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  49  | 1.921181e+02 | 0.400 | 4.3701e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  50  | 1.921181e+02 | 0.400 | 3.8368e-05 | 1.000 | 1.000 |  0.500  |  0.175 
  51  | 1.921180e+02 | 0.400 | 3.3664e-05 | 1.000 | 1.000 |  0.500  |  0.175 
  52  | 1.921180e+02 | 0.400 | 2.9562e-05 | 1.000 | 1.000 |  0.500  |  0.175 
  53  | 1.921179e+02 | 0.400 | 2.5938e-05 | 1.000 | 1.000 |  0.500  |  0.175 
  54  | 1.921179e+02 | 0.400 | 2.2779e-05 | 1.000 | 1.000 |  0.500  |  0.175 
  55  | 1.921179e+02 | 0.400 | 1.9987e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  56  | 1.921179e+02 | 0.400 | 1.7566e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  57  | 1.921178e+02 | 0.400 | 1.5424e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  58  | 1.921178e+02 | 0.400 | 1.3564e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  59  | 1.921178e+02 | 0.400 | 1.1912e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  60  | 1.921178e+02 | 0.400 | 1.0473e-05 | 1.000 | 1.000 |  0.500  |  0.174 
  61  | 1.921178e+02 | 0.400 | 9.2039e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  62  | 1.921178e+02 | 0.400 | 8.0954e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  63  | 1.921178e+02 | 0.400 | 7.1083e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  64  | 1.921178e+02 | 0.400 | 6.2541e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  65  | 1.921177e+02 | 0.400 | 5.4972e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  66  | 1.921177e+02 | 0.400 | 4.8320e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  67  | 1.921177e+02 | 0.400 | 4.2474e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  68  | 1.921177e+02 | 0.400 | 3.7406e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  69  | 1.921177e+02 | 0.400 | 3.2820e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  70  | 1.921177e+02 | 0.400 | 2.8849e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  71  | 1.921177e+02 | 0.400 | 2.5430e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  72  | 1.921177e+02 | 0.400 | 2.2362e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  73  | 1.921177e+02 | 0.400 | 1.9595e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  74  | 1.921177e+02 | 0.400 | 1.7294e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  75  | 1.921177e+02 | 0.400 | 1.5210e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  76  | 1.921177e+02 | 0.400 | 1.3306e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  77  | 1.921177e+02 | 0.400 | 1.1765e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  78  | 1.921177e+02 | 0.400 | 1.0348e-06 | 1.000 | 1.000 |  0.500  |  0.174 
  79  | 1.921177e+02 | 0.400 | 9.1026e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  80  | 1.921177e+02 | 0.400 | 8.0070e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  81  | 1.921177e+02 | 0.400 | 6.9728e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  82  | 1.921177e+02 | 0.400 | 6.1955e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  83  | 1.921177e+02 | 0.400 | 5.4505e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  84  | 1.921177e+02 | 0.400 | 4.7953e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  85  | 1.921177e+02 | 0.400 | 4.2190e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  86  | 1.921177e+02 | 0.400 | 3.7120e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  87  | 1.921177e+02 | 0.400 | 3.2660e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  88  | 1.921177e+02 | 0.400 | 2.8737e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  89  | 1.921177e+02 | 0.400 | 2.5285e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  90  | 1.921177e+02 | 0.400 | 2.2249e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  91  | 1.921177e+02 | 0.400 | 1.9578e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  92  | 1.921177e+02 | 0.400 | 1.7228e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  93  | 1.921177e+02 | 0.400 | 1.5161e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  94  | 1.921177e+02 | 0.400 | 1.3342e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  95  | 1.921177e+02 | 0.400 | 1.1742e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  96  | 1.921177e+02 | 0.400 | 1.0334e-07 | 1.000 | 1.000 |  0.500  |  0.174 
  97  | 1.921177e+02 | 0.400 | 9.0945e-08 | 1.000 | 1.000 |  0.500  |  0.174 
  98  | 1.921177e+02 | 0.400 | 8.0042e-08 | 1.000 | 1.000 |  0.500  |  0.174 
  99  | 1.921177e+02 | 0.400 | 7.0449e-08 | 1.000 | 1.000 |  0.500  |  0.174 
 100  | 1.921177e+02 | 0.400 | 6.2006e-08 | 1.000 | 1.000 |  0.500  |  0.174 
 101  | 1.921177e+02 | 0.400 | 5.4577e-08 | 1.000 | 1.000 |  0.500  |  0.174 
 102  | 1.921177e+02 | 0.400 | 4.8038e-08 | 1.000 | 1.000 |  0.500  |  0.174 
 103  | 1.921177e+02 | 0.400 | 3.5318e-08 | 1.000 | 1.000 |  0.500  |  0.174 
