TPD file name: volfrac_0.4_filtrad_1.1_p_2.500_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.1
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.1_p_2.500_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.243939e+03 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.000 
   2  | 7.168102e+02 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.000 
   3  | 5.269275e+02 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.065 
   4  | 4.304433e+02 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.107 
   5  | 3.974303e+02 | 0.400 | 1.7982e-01 | 2.500 | 1.000 |  0.500  |  0.128 
   6  | 3.803361e+02 | 0.400 | 1.5795e-01 | 2.500 | 1.000 |  0.500  |  0.150 
   7  | 3.684821e+02 | 0.400 | 1.2826e-01 | 2.500 | 1.000 |  0.500  |  0.168 
   8  | 3.574087e+02 | 0.400 | 1.4792e-01 | 2.500 | 1.000 |  0.500  |  0.193 
   9  | 3.471285e+02 | 0.400 | 1.1790e-01 | 2.500 | 1.000 |  0.500  |  0.212 
  10  | 3.379507e+02 | 0.400 | 1.3056e-01 | 2.500 | 1.000 |  0.500  |  0.232 
  11  | 3.302937e+02 | 0.400 | 1.3414e-01 | 2.500 | 1.000 |  0.500  |  0.259 
  12  | 3.235644e+02 | 0.400 | 1.0290e-01 | 2.500 | 1.000 |  0.500  |  0.284 
  13  | 3.171904e+02 | 0.400 | 1.1343e-01 | 2.500 | 1.000 |  0.500  |  0.293 
  14  | 3.103611e+02 | 0.400 | 1.3714e-01 | 2.500 | 1.000 |  0.500  |  0.300 
  15  | 3.028836e+02 | 0.400 | 1.6111e-01 | 2.500 | 1.000 |  0.500  |  0.310 
  16  | 2.951859e+02 | 0.400 | 1.5499e-01 | 2.500 | 1.000 |  0.500  |  0.327 
  17  | 2.883887e+02 | 0.400 | 1.7301e-01 | 2.500 | 1.000 |  0.500  |  0.346 
  18  | 2.826402e+02 | 0.400 | 1.6947e-01 | 2.500 | 1.000 |  0.500  |  0.376 
  19  | 2.773804e+02 | 0.400 | 1.8855e-01 | 2.500 | 1.000 |  0.500  |  0.397 
  20  | 2.722139e+02 | 0.400 | 1.7204e-01 | 2.500 | 1.000 |  0.500  |  0.429 
  21  | 2.670716e+02 | 0.400 | 1.9768e-01 | 2.500 | 1.000 |  0.500  |  0.456 
  22  | 2.620614e+02 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.479 
  23  | 2.577227e+02 | 0.400 | 1.8618e-01 | 2.500 | 1.000 |  0.500  |  0.522 
  24  | 2.544563e+02 | 0.400 | 1.1866e-01 | 2.500 | 1.000 |  0.500  |  0.554 
  25  | 2.523582e+02 | 0.400 | 1.1136e-01 | 2.500 | 1.000 |  0.500  |  0.583 
  26  | 2.509218e+02 | 0.400 | 1.2897e-01 | 2.500 | 1.000 |  0.500  |  0.601 
  27  | 2.495968e+02 | 0.400 | 1.3643e-01 | 2.500 | 1.000 |  0.500  |  0.604 
