TPD file name: volfrac_0.3_eta_0.1.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.5
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.3_eta_0.1
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.10
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
  53  | 5.359847e+02 | 0.300 | 2.5493e-02 | 3.000 | 1.000 |  0.100  |  0.237 
  54  | 5.257765e+02 | 0.300 | 2.3995e-02 | 3.000 | 1.000 |  0.100  |  0.248 
  55  | 5.163694e+02 | 0.300 | 2.3356e-02 | 3.000 | 1.000 |  0.100  |  0.261 
  56  | 5.076923e+02 | 0.300 | 2.2583e-02 | 3.000 | 1.000 |  0.100  |  0.274 
  57  | 4.996620e+02 | 0.300 | 2.1810e-02 | 3.000 | 1.000 |  0.100  |  0.287 
  58  | 4.921968e+02 | 0.300 | 2.1657e-02 | 3.000 | 1.000 |  0.100  |  0.297 
  59  | 4.852163e+02 | 0.300 | 2.1993e-02 | 3.000 | 1.000 |  0.100  |  0.304 
  60  | 4.786641e+02 | 0.300 | 2.1724e-02 | 3.000 | 1.000 |  0.100  |  0.309 
  61  | 4.724909e+02 | 0.300 | 2.1271e-02 | 3.000 | 1.000 |  0.100  |  0.318 
  62  | 4.666633e+02 | 0.300 | 2.1120e-02 | 3.000 | 1.000 |  0.100  |  0.328 
  63  | 4.611559e+02 | 0.300 | 2.1195e-02 | 3.000 | 1.000 |  0.100  |  0.334 
  64  | 4.559508e+02 | 0.300 | 2.1146e-02 | 3.000 | 1.000 |  0.100  |  0.342 
  65  | 4.510043e+02 | 0.300 | 2.1018e-02 | 3.000 | 1.000 |  0.100  |  0.344 
  66  | 4.462974e+02 | 0.300 | 2.0878e-02 | 3.000 | 1.000 |  0.100  |  0.348 
  67  | 4.418061e+02 | 0.300 | 2.1305e-02 | 3.000 | 1.000 |  0.100  |  0.354 
  68  | 4.375136e+02 | 0.300 | 2.1616e-02 | 3.000 | 1.000 |  0.100  |  0.362 
  69  | 4.334041e+02 | 0.300 | 2.1808e-02 | 3.000 | 1.000 |  0.100  |  0.365 
  70  | 4.294614e+02 | 0.300 | 2.2040e-02 | 3.000 | 1.000 |  0.100  |  0.372 
  71  | 4.256688e+02 | 0.300 | 2.2253e-02 | 3.000 | 1.000 |  0.100  |  0.375 
  72  | 4.220174e+02 | 0.300 | 2.2360e-02 | 3.000 | 1.000 |  0.100  |  0.377 
  73  | 4.184954e+02 | 0.300 | 2.2363e-02 | 3.000 | 1.000 |  0.100  |  0.378 
  74  | 4.150947e+02 | 0.300 | 2.2263e-02 | 3.000 | 1.000 |  0.100  |  0.383 
  75  | 4.118147e+02 | 0.300 | 2.2049e-02 | 3.000 | 1.000 |  0.100  |  0.387 
  76  | 4.086681e+02 | 0.300 | 2.1741e-02 | 3.000 | 1.000 |  0.100  |  0.393 
  77  | 4.056568e+02 | 0.300 | 2.1476e-02 | 3.000 | 1.000 |  0.100  |  0.402 
  78  | 4.027912e+02 | 0.300 | 2.1184e-02 | 3.000 | 1.000 |  0.100  |  0.405 
  79  | 4.000379e+02 | 0.300 | 2.1445e-02 | 3.000 | 1.000 |  0.100  |  0.411 
  80  | 3.973799e+02 | 0.300 | 2.1830e-02 | 3.000 | 1.000 |  0.100  |  0.407 
  81  | 3.948006e+02 | 0.300 | 2.2274e-02 | 3.000 | 1.000 |  0.100  |  0.412 
  82  | 3.922979e+02 | 0.300 | 2.2803e-02 | 3.000 | 1.000 |  0.100  |  0.418 
  83  | 3.899008e+02 | 0.300 | 2.3217e-02 | 3.000 | 1.000 |  0.100  |  0.428 
  84  | 3.875885e+02 | 0.300 | 2.3558e-02 | 3.000 | 1.000 |  0.100  |  0.440 
  85  | 3.853602e+02 | 0.300 | 2.3730e-02 | 3.000 | 1.000 |  0.100  |  0.447 
  86  | 3.831753e+02 | 0.300 | 2.3731e-02 | 3.000 | 1.000 |  0.100  |  0.453 
  87  | 3.810104e+02 | 0.300 | 2.3580e-02 | 3.000 | 1.000 |  0.100  |  0.458 
  88  | 3.788624e+02 | 0.300 | 2.3780e-02 | 3.000 | 1.000 |  0.100  |  0.461 
  89  | 3.767186e+02 | 0.300 | 2.3711e-02 | 3.000 | 1.000 |  0.100  |  0.463 
  90  | 3.745762e+02 | 0.300 | 2.3428e-02 | 3.000 | 1.000 |  0.100  |  0.466 
  91  | 3.724481e+02 | 0.300 | 2.2920e-02 | 3.000 | 1.000 |  0.100  |  0.470 
  92  | 3.703576e+02 | 0.300 | 2.2060e-02 | 3.000 | 1.000 |  0.100  |  0.475 
  93  | 3.683450e+02 | 0.300 | 2.0903e-02 | 3.000 | 1.000 |  0.100  |  0.480 
  94  | 3.664389e+02 | 0.300 | 1.9500e-02 | 3.000 | 1.000 |  0.100  |  0.485 
  95  | 3.646727e+02 | 0.300 | 1.7907e-02 | 3.000 | 1.000 |  0.100  |  0.489 
  96  | 3.630803e+02 | 0.300 | 1.6241e-02 | 3.000 | 1.000 |  0.100  |  0.492 
  97  | 3.616845e+02 | 0.300 | 1.4590e-02 | 3.000 | 1.000 |  0.100  |  0.498 
  98  | 3.605037e+02 | 0.300 | 1.3020e-02 | 3.000 | 1.000 |  0.100  |  0.503 
  99  | 3.595332e+02 | 0.300 | 1.1600e-02 | 3.000 | 1.000 |  0.100  |  0.509 
 100  | 3.587578e+02 | 0.300 | 1.0680e-02 | 3.000 | 1.000 |  0.100  |  0.519 
 101  | 3.581500e+02 | 0.300 | 1.0016e-02 | 3.000 | 1.000 |  0.100  |  0.529 
 102  | 3.576757e+02 | 0.300 | 9.3641e-03 | 3.000 | 1.000 |  0.100  |  0.545 
 103  | 3.573050e+02 | 0.300 | 8.7983e-03 | 3.000 | 1.000 |  0.100  |  0.545 
 104  | 3.569819e+02 | 0.300 | 8.2601e-03 | 3.000 | 1.000 |  0.100  |  0.546 
 105  | 3.566900e+02 | 0.300 | 7.7449e-03 | 3.000 | 1.000 |  0.100  |  0.546 
 106  | 3.564251e+02 | 0.300 | 7.2560e-03 | 3.000 | 1.000 |  0.100  |  0.547 
 107  | 3.561824e+02 | 0.300 | 6.7924e-03 | 3.000 | 1.000 |  0.100  |  0.550 
 108  | 3.559593e+02 | 0.300 | 6.3535e-03 | 3.000 | 1.000 |  0.100  |  0.550 
 109  | 3.557537e+02 | 0.300 | 5.9419e-03 | 3.000 | 1.000 |  0.100  |  0.550 
 110  | 3.555626e+02 | 0.300 | 5.5554e-03 | 3.000 | 1.000 |  0.100  |  0.551 
 111  | 3.553845e+02 | 0.300 | 5.1924e-03 | 3.000 | 1.000 |  0.100  |  0.552 
 112  | 3.552185e+02 | 0.300 | 4.8541e-03 | 3.000 | 1.000 |  0.100  |  0.551 
 113  | 3.550629e+02 | 0.300 | 4.5490e-03 | 3.000 | 1.000 |  0.100  |  0.551 
 114  | 3.549168e+02 | 0.300 | 4.2703e-03 | 3.000 | 1.000 |  0.100  |  0.552 
 115  | 3.547798e+02 | 0.300 | 4.0030e-03 | 3.000 | 1.000 |  0.100  |  0.552 
 116  | 3.546511e+02 | 0.300 | 3.7478e-03 | 3.000 | 1.000 |  0.100  |  0.552 
 117  | 3.545295e+02 | 0.300 | 3.5048e-03 | 3.000 | 1.000 |  0.100  |  0.552 
 118  | 3.544144e+02 | 0.300 | 3.2877e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 119  | 3.543053e+02 | 0.300 | 3.2431e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 120  | 3.542026e+02 | 0.300 | 3.2010e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 121  | 3.541054e+02 | 0.300 | 3.1819e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 122  | 3.540128e+02 | 0.300 | 3.1712e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 123  | 3.539246e+02 | 0.300 | 3.1596e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 124  | 3.538402e+02 | 0.300 | 3.1473e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 125  | 3.537594e+02 | 0.300 | 3.1343e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 126  | 3.536819e+02 | 0.300 | 3.1207e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 127  | 3.536075e+02 | 0.300 | 3.1069e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 128  | 3.535360e+02 | 0.300 | 3.0932e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 129  | 3.534674e+02 | 0.300 | 3.0792e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 130  | 3.534016e+02 | 0.300 | 3.0650e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 131  | 3.533382e+02 | 0.300 | 3.0506e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 132  | 3.532770e+02 | 0.300 | 3.0374e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 133  | 3.532187e+02 | 0.300 | 3.0388e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 134  | 3.531631e+02 | 0.300 | 3.0412e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 135  | 3.531097e+02 | 0.300 | 3.0386e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 136  | 3.530581e+02 | 0.300 | 3.0319e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 137  | 3.530083e+02 | 0.300 | 3.0233e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 138  | 3.529601e+02 | 0.300 | 3.0271e-03 | 3.000 | 1.000 |  0.100  |  0.556 
 139  | 3.529133e+02 | 0.300 | 3.0290e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 140  | 3.528678e+02 | 0.300 | 3.0291e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 141  | 3.528235e+02 | 0.300 | 3.0278e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 142  | 3.527802e+02 | 0.300 | 3.0253e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 143  | 3.527380e+02 | 0.300 | 3.0215e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 144  | 3.526967e+02 | 0.300 | 3.0173e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 145  | 3.526562e+02 | 0.300 | 3.0129e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 146  | 3.526165e+02 | 0.300 | 3.0080e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 147  | 3.525775e+02 | 0.300 | 3.0027e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 148  | 3.525392e+02 | 0.300 | 2.9970e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 149  | 3.525014e+02 | 0.300 | 2.9908e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 150  | 3.524642e+02 | 0.300 | 2.9842e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 151  | 3.524274e+02 | 0.300 | 2.9770e-03 | 3.000 | 1.000 |  0.100  |  0.553 
 152  | 3.523911e+02 | 0.300 | 2.9693e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 153  | 3.523551e+02 | 0.300 | 2.9611e-03 | 3.000 | 1.000 |  0.100  |  0.555 
 154  | 3.523195e+02 | 0.300 | 2.9537e-03 | 3.000 | 1.000 |  0.100  |  0.554 
 155  | 3.522843e+02 | 0.300 | 2.9629e-03 | 3.000 | 1.000 |  0.100  |  0.554 
