TPD file name: volfrac_0.4_filtrad_0.01_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 0.01
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_0.01_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
  53  | 2.636667e+02 | 0.400 | 2.4244e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  54  | 2.636667e+02 | 0.400 | 2.2791e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  55  | 2.636667e+02 | 0.400 | 2.1454e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  56  | 2.636667e+02 | 0.400 | 2.0177e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  57  | 2.636667e+02 | 0.400 | 1.8994e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  58  | 2.636667e+02 | 0.400 | 1.7869e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  59  | 2.636667e+02 | 0.400 | 1.6822e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  60  | 2.636667e+02 | 0.400 | 1.5829e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  61  | 2.636667e+02 | 0.400 | 1.4902e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  62  | 2.636667e+02 | 0.400 | 1.4025e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  63  | 2.636667e+02 | 0.400 | 1.3204e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  64  | 2.636667e+02 | 0.400 | 1.2430e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  65  | 2.636667e+02 | 0.400 | 1.1703e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  66  | 2.636667e+02 | 0.400 | 1.1017e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  67  | 2.636667e+02 | 0.400 | 1.0373e-03 | 3.000 | 1.000 |  0.500  |  0.986 
  68  | 2.636667e+02 | 0.400 | 9.7662e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  69  | 2.636667e+02 | 0.400 | 9.1956e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  70  | 2.636667e+02 | 0.400 | 8.6582e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  71  | 2.636667e+02 | 0.400 | 8.1527e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  72  | 2.636667e+02 | 0.400 | 7.6766e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  73  | 2.636667e+02 | 0.400 | 7.2288e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  74  | 2.636667e+02 | 0.400 | 6.8070e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  75  | 2.636667e+02 | 0.400 | 6.4100e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  76  | 2.636667e+02 | 0.400 | 6.0361e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  77  | 2.636667e+02 | 0.400 | 5.6842e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  78  | 2.636667e+02 | 0.400 | 5.3528e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  79  | 2.636667e+02 | 0.400 | 5.0409e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  80  | 2.636667e+02 | 0.400 | 4.7471e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  81  | 2.636667e+02 | 0.400 | 4.4705e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  82  | 2.636667e+02 | 0.400 | 4.2099e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  83  | 2.636667e+02 | 0.400 | 3.9646e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  84  | 2.636667e+02 | 0.400 | 3.7337e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  85  | 2.636667e+02 | 0.400 | 3.5162e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  86  | 2.636667e+02 | 0.400 | 3.3114e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  87  | 2.636667e+02 | 0.400 | 3.1184e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  88  | 2.636667e+02 | 0.400 | 2.9368e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  89  | 2.636667e+02 | 0.400 | 2.7657e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  90  | 2.636667e+02 | 0.400 | 2.6047e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  91  | 2.636667e+02 | 0.400 | 2.4532e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  92  | 2.636667e+02 | 0.400 | 2.3103e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  93  | 2.636667e+02 | 0.400 | 2.1758e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  94  | 2.636667e+02 | 0.400 | 2.0491e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  95  | 2.636667e+02 | 0.400 | 1.9298e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  96  | 2.636667e+02 | 0.400 | 1.8175e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  97  | 2.636667e+02 | 0.400 | 1.7116e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  98  | 2.636667e+02 | 0.400 | 1.6119e-04 | 3.000 | 1.000 |  0.500  |  0.986 
  99  | 2.636667e+02 | 0.400 | 1.5181e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 100  | 2.636667e+02 | 0.400 | 1.4297e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 101  | 2.636667e+02 | 0.400 | 1.3465e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 102  | 2.636667e+02 | 0.400 | 1.2681e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 103  | 2.636667e+02 | 0.400 | 1.1943e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 104  | 2.636667e+02 | 0.400 | 1.1248e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 105  | 2.636667e+02 | 0.400 | 1.0594e-04 | 3.000 | 1.000 |  0.500  |  0.986 
 106  | 2.636667e+02 | 0.400 | 9.9768e-05 | 3.000 | 1.000 |  0.500  |  0.986 
