TPD file name: volfrac_0.4_filtrad_3.0_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 3.0
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_3.0_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.966841e+03 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.000 
   2  | 1.120228e+03 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.000 
   3  | 7.793614e+02 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.028 
   4  | 6.358873e+02 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.037 
   5  | 5.812234e+02 | 0.400 | 1.6072e-01 | 3.000 | 1.000 |  0.500  |  0.077 
   6  | 5.528537e+02 | 0.400 | 1.9205e-01 | 3.000 | 1.000 |  0.500  |  0.078 
   7  | 5.334272e+02 | 0.400 | 1.5435e-01 | 3.000 | 1.000 |  0.500  |  0.102 
   8  | 5.164564e+02 | 0.400 | 1.6990e-01 | 3.000 | 1.000 |  0.500  |  0.098 
   9  | 5.015865e+02 | 0.400 | 1.4147e-01 | 3.000 | 1.000 |  0.500  |  0.116 
  10  | 4.881185e+02 | 0.400 | 1.4295e-01 | 3.000 | 1.000 |  0.500  |  0.122 
  11  | 4.754070e+02 | 0.400 | 1.2431e-01 | 3.000 | 1.000 |  0.500  |  0.134 
  12  | 4.625778e+02 | 0.400 | 1.2772e-01 | 3.000 | 1.000 |  0.500  |  0.138 
  13  | 4.482215e+02 | 0.400 | 1.0699e-01 | 3.000 | 1.000 |  0.500  |  0.148 
  14  | 4.325034e+02 | 0.400 | 1.1348e-01 | 3.000 | 1.000 |  0.500  |  0.152 
  15  | 4.141748e+02 | 0.400 | 9.4432e-02 | 3.000 | 1.000 |  0.500  |  0.160 
  16  | 3.951624e+02 | 0.400 | 9.9209e-02 | 3.000 | 1.000 |  0.500  |  0.163 
