Penalty factor, Filter rad, Objective Function, Solid-void Ratio
1,1.1,36.11383477,0.999968
1,2.2,35.22859499,0.99992
1,4.4,36.20064649,0.999992
1,8.8,36.30241307,0.999936
1,16,36.89591321,0.999976
1,32,37.21022253,0.99992
1,64,43.87481428,0.999984
